L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Energia
0;0;0;0;3693.522;0;0;0;0;6320;14200;1583.1;63399
0;567.18;3740.749;0;3478.7;0;0;0;0;4832;9265;15866.8;93779
0;2993.91;2170.896;0;5513.545;0;0;607.8;784.08;2580;7433;14577.4;105259
0;2903.175;0;0;6169.677;0;0;0;3560.28;12115;7043;11582.6;103411
0;3246.174;3891.873;0;5854.866;0;0;0;4131.78;6177;11948;13635.3;118627
0;3395.283;3840.71;0;6328.131;0;179.928;0;3965.28;6355;11191;21531.7;119494
1203.3;947.922;3865.013;0;2807.174;0;0;1582.32;4732.32;9748;10939;13069.1;129132
756.45;888.03;3322.374;0;4524.492;0;799.2;1835.16;4539.48;6156;9308;6744.9;125529
0;3129.84;3717.787;0;4033.68;0;0;1886.4;4022.88;11557;6773;15799.1;124831
0;2996.808;4158.74;0;4005.585;0;0;1881.36;2747.1;9513;15554;10613.2;122331
0;1894.119;4031.152;0;5921.161;0;0;0;2967.63;6750;16517;5700.8;109008
1005.45;1004.295;1934.764;0;5265.554;0;0;1986.48;2181.18;12410;5938;10357.7;122755
3009.45;3005.364;4014.731;0;5250.1;0;0;2388.72;2053.62;10116;16953;14827.9;136153
3022.95;3160.062;4046.851;0;4385.522;0;0;2419.32;1879.2;9013;10477;9792.4;134053
3067.5;2790.705;4446.375;0;6036.279;0;0;2022.12;2193;6137;10802;10743.7;132222
3293.55;3255.213;3840.944;0;5953.843;0;0;3157.8;3197.28;11132;15003;15938.2;143401
1643.7;2786.841;3960.373;0;6031.881;0;0;2046.48;2388.33;5997;15916;14171.1;136597
0;0;4303.409;0;5986.891;0;0;0;3655.05;8648;13618;14048.1;115875
837.9;0;2340.273;0;2283.366;0;0;1544.64;3998.28;12122;10020;1772.4;108562
2770.2;0;3552.968;0;4447.8;0;0;2636.88;3879.21;3199;12335;6135.8;126497
3453;2694.519;3957.413;0;4431;0;123;2590.08;3385.734;12456;14037;17381.4;146045
2603.7;3355.608;3813.424;0;5080.32;0;420.72;3190.8;1530.432;9214;18720;15906.2;142225
2442.15;3384.45;4009.981;0;4896.696;0;538.92;0;2538.12;12533;15119;17863.5;142377
2866.5;2528.781;4247.817;0;4108.643;0;0;2249.88;2386.2;12300;13999;13481.7;145758
3240.45;0;4447.93;0;6681.073;0;0;0;3902.4;7933;12252;9300.3;124426
1349.25;0;1988.483;0;4339.279;0;0;1944.12;4326.36;6100;10372;8687.7;119827
0;0;3222.115;0;6069.124;0;451.68;2700.84;4756.44;6106;12177;13348;123067
0;1831.95;4448.74;0;5391.002;0;346.68;2984.52;2039.25;12587;15601;14135.9;122618
0;3086.784;4328.458;0;5174.322;0;0;2261.16;3377.85;9494;8350;16020.5;127863
1514.25;2704.041;4076.138;0;5305.904;0;0;2662.56;2750.55;14633;15800;12934.4;142746
3073.95;3407.841;3317.092;0;5675.469;0;0;2439.72;4037.28;5862;14019;11696.6;144767
3152.55;2857.842;4064.976;0;6148.614;0;0;0;4443.36;9519;16001;14568.8;135654
0;0;1128.091;0;2048.368;0;0;1901.52;2648.064;5039;3367;2276.2;106709
0;0;3033.334;0;3970.238;0;0;1582.56;1262.364;5448;8234;10644.5;114012
0;1134.015;3810.783;0;4861.529;0;0;1565.88;2786.97;12228;11033;9930;112234
723.45;3207.12;4065.254;0;6039.83;0;0;2635.92;3137.88;2606;14588;5702;127135
2820.9;0;2535.296;0;5610.668;0;0;2042.04;1117.14;9122;10670;7653.7;121362
1678.05;0;4442.37;0;6064.403;11.7;0;2526.36;1288.98;0;10531;10168.9;121013
0;0;3953.749;0;5453.828;0;0;0;311.67;12118;8920;13091.7;91032
0;0;1777.911;0;3812.591;80;0;0;3555.72;5894;11209;9897.9;110229
0;0;3435.391;0;5716.183;64;0;2830.92;1525.26;6082;5163;8532.9;119026
0;2353.59;4163.852;0;5223.67;0;0;3440.16;3490.38;6152;10066;5545.3;107125
0;2864.535;2797.201;0;6399.349;0;0;4104;2346.84;9243;16531;3233.1;128126
866.25;3805.764;4448.974;0;6635.033;0;0;4368.96;1233.288;12050;13036;5529.3;121908
2959.2;1285.47;3622.47;0;3333.757;0;0;1742.4;512.88;8750;7099;13058.7;118421
0;0;4091.943;0;3052.056;0;0;761.52;1679.76;6539;14420;9623.1;110422
0;0;3059.468;0;5103.84;0;193.752;986.4;2051.46;5894;3600;11255.5;111233
