L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
0.0,0.0,2345.002,0.0,6502.566,0.0,0.0,2845.92,6079.8,11317,10123.0,10753.2,121909.0,1
0.0,763.83,3812.189,0.0,5618.256,40.8,0.0,3988.8,2985.672,8855,12740.0,9235.3,130788.0,1
1479.6,3138.879,4281.044,0.0,3950.142,81.5,395.64,4196.52,1090.008,8439,6326.0,15140.8,138124.0,1
2780.55,4028.772,4369.418,0.0,5802.804,138.5,372.48,1825.2,1608.0,9399,21116.0,15939.1,149398.0,1
3021.6,94.53,4370.611,0.0,6210.918,0.0,0.0,1814.4,3265.47,9227,15318.0,7041.7,130038.0,1
321.15,1682.91,4039.801,0.0,6565.356,0.0,0.0,797.4,4134.3,6177,18550.0,5718.1,124701.0,1
3118.5,4216.452,4920.13,0.0,4741.043,0.0,0.0,4136.16,3103.32,11346,8680.0,0.0,120418.0,-1
497.55,456.78,2195.412,0.0,3378.425,0.0,0.0,1351.32,2429.43,3790,7433.0,1372.5,111190.0,1
0.0,0.0,3795.66,0.0,4049.365,0.9,0.0,3121.2,790.74,12199,14674.0,14659.2,110140.57,1
0.0,1906.125,4066.895,0.0,5693.991,0.0,0.0,3450.0,1128.96,4922,12656.0,12935.5,117327.87,1
0.0,2860.257,4395.808,0.0,6273.256,0.0,0.0,3261.6,1439.016,5963,8360.0,15990.1,132307.35,1
0.0,0.0,4925.582,0.0,6213.901,0.0,0.0,0.0,2556.954,5874,12474.0,16492.7,116837.54,1
0.0,2352.21,3657.253,0.0,5886.258,0.0,0.0,2048.16,3083.4,10437,5580.0,7439.7,122182.31,1
0.0,2504.01,4389.504,0.0,6091.236,0.0,200.664,3200.88,2403.78,5856,22826.0,3109.3,121523.6,1
0.0,3256.8,2191.855,0.0,7030.705,206.3,0.0,3715.32,1230.24,8938,15001.0,11995.0,126368.01,1
0.0,1894.05,3781.688,0.0,3678.346,0.0,0.0,2911.8,4496.28,13790,9800.0,11019.9,125139.7,1
2751.6,3588.0,4499.263,0.0,6803.817,0.0,0.0,3818.16,1576.44,11983,22120.0,14349.7,149867.35,1
2754.3,0.0,4534.323,0.0,6512.571,0.0,0.0,0.0,1862.64,4773,14000.0,15788.3,127625.28,1
3042.0,0.0,3397.691,0.0,6408.912,163.5,0.0,1752.0,2467.74,10059,11063.0,13682.9,131628.6,1
2717.55,213.141,3490.559,0.0,3376.904,0.0,0.0,2036.52,5793.0,6921,0.0,6927.7,125020.72,1
2972.7,2030.601,2662.735,0.0,4932.438,0.0,0.0,1830.0,2856.33,8476,0.0,4695.5,127398.4,1
1041.45,1790.067,4054.839,0.0,5218.5,306.0,0.0,2062.32,2930.88,11743,8065.0,18376.6,136829.83,1
0.0,2369.46,3964.101,0.0,5766.642,366.5,0.0,2629.2,4068.15,12720,10531.0,19412.4,138241.57,1
0.0,2737.851,4106.363,0.0,6409.284,0.0,0.0,3434.76,2798.82,6206,11550.0,14804.3,134308.54,1
